Project ID,Graded ID,3 Block Inputs,Pen thickness,Repeat # of Sides,Move Size,Turn sides / 360
03ee2afb-40fa-4cfa-93d5-fd5aadb5edb4,147320,2,2,2,2,2
09d46e72-14e5-4976-94ca-bd2f308e306e,87854,2,2,2,2,2
0d3f3371-ec4d-4b67-abba-b11029e680ab,124594,2,2,2,2,2
0d61fe4c-a911-45f1-8365-817c84ec843d,124482,2,2,2,2,2
10b5e037-d8ed-4b37-ad84-4e8336378b76,125014,2,2,2,2,2
14a388a4-8d90-4290-ab8b-d728ab544afc,86514,2,2,2,2,2
1c07dbfc-8469-418a-b99e-48d8477e5985,94499,2,2,2,2,2
2081e688-d231-48fb-99fe-cbd60c18a478,122307,2,2,2,2,2
22bf0171-bfe3-4eb9-a54c-cb6663313d62,94676,2,2,2,2,2
24a9f1e7-b7e6-42fb-bb9d-5d17d937ced9,147596,2,2,2,2,2
2510dd58-4ada-44b5-92c8-4587c658f66a,120882,2,2,2,2,2
2791981a-3038-4c65-88a2-979296fb4112,87303,1,2,1,2,1
2efbb432-5ab8-4e8f-9f93-f20bf6701da5,148231,2,2,2,2,2
2f9bb599-3551-4d27-8a2a-f95062a9ec00,87843,2,2,2,2,2
305c0726-50fe-4780-879f-97abb8f3397d,149536,2,2,2,2,2
3240ae1a-9de4-4620-a78a-c8dd9e7c4115,119517,2,2,2,2,2
32f97c2e-097f-4163-bcb4-5be7b2ae9a12,87720,2,2,2,2,2
35e89eb6-afc8-4b11-af23-edcd2e07e16d,93518,2,2,2,2,2
36ef988c-f43e-429f-9025-e20caf00eb1a,149502,2,2,2,2,1
424fb70e-4e6f-47af-a9fb-8004dca7074c,85468,2,2,2,2,2
44a7c50c-d535-4d9c-8f1d-2d84d7ab0d38,183111,2,2,2,2,2
46bd969e-7ab3-4dbf-bd79-ee29d46c19a7,92716,2,2,2,2,2
4b18ddc0-70c3-41ce-a0f1-5ffcec344fb8,124135,2,2,2,2,2
4ee26e03-82ef-49d9-aa5f-5be629c70231,149035,2,2,2,2,2
4f044d30-a47c-47d5-a6fb-23cb26166160,148876,2,2,2,2,2
53090014-f41a-4b2b-977d-91939535c932,94236,2,2,2,2,2
5749ef7c-4782-4ee7-9599-fb2386bd5eb1,123114,2,1,2,2,2
5b551cde-4c79-4983-9d20-0e3beae156ae,149878,2,2,2,2,2
5c613c0e-8d9d-4873-87c6-54c5c5517e71,87445,2,2,2,2,2
60780c23-351b-42bd-b480-eb09c16b3e4f,121053,2,2,2,2,2
65437491-ec20-4464-a254-e13278cba218,124456,2,2,2,2,2
664a6f52-9958-43ee-8e37-361205726418,95178,2,2,2,2,2
688aa42b-ca96-4bdc-b874-9d32c461fda8,121672,2,2,2,2,2
6adaa181-c606-43f6-a3d7-c0a1a1067dd8,86135,2,2,2,2,2
6b83c3d6-5339-40e2-8ecb-33e5277559b7,149516,2,2,2,2,2
6c5e2b2c-7ed6-4f76-bb2a-2afe38c26686,88525,2,2,2,2,2
6ce6f4a5-06ea-4059-ab61-10264f7894a9,149471,2,2,2,2,2
7c4d8b94-36e3-466f-a5d0-1d69ded2c040,96103,2,2,2,2,2
86879778-90cc-4d4e-8648-52064cb8aa3e,85717,2,2,2,2,2
86be83bf-bd4e-48d4-9952-24f08e29cfe6,86469,2,2,2,2,2
8b7f5126-1f35-4783-9356-3d3fc047a33d,148912,2,2,2,2,2
8f20fe6f-4831-4666-bdc4-ff5d77483484,148423,2,2,2,2,2
928e3f9a-1117-47e0-84b1-b07d03352199,85136,2,2,2,2,2
934b48cf-e9e7-44d9-bb34-7f6383def026,124147,2,2,2,2,2
939324cd-ce07-4bf9-b8ad-ff13ae55712f,144420,1,2,2,2,2
a06d3d78-e0a5-4a19-bc44-2cace3bea77a,83693,2,2,2,2,2
a4c447b1-20dc-4cdd-aefb-bd5abc566ba3,122934,2,2,2,2,2
a6f3a607-3678-415c-9ee8-3831d3449e1c,84643,2,2,2,2,2
b00de782-4e53-4c9d-a41d-2a0ff83a0754,147256,2,2,2,2,2
b15bace5-74b5-4b0e-9592-e541c47b8678,95787,2,2,2,2,2
b2bd0b5c-5024-4073-936b-f57c4ffb9a3a,93113,2,2,2,2,2
b7142567-8a97-49be-b53b-02bb85a641f4,85585,2,2,2,2,2
c06f79ad-8a21-4a8d-989e-c42bd0ab0f46,146443,2,2,2,2,2
cc94a27f-1e8f-44fe-9223-8e3a96195b83,86294,2,2,2,2,2
cea02afa-537e-4e21-a6f3-f82e4e2d0759,148951,2,2,2,2,2
d1f5737b-201e-48c3-8720-f0d14b4ea159,96057,2,2,2,2,2
d456cb33-3e56-4de5-8bc4-b8defbede450,149092,2,2,2,2,2
d7ea100c-790d-4332-ac0a-40ae6dba45c6,149237,2,2,2,2,2
e510313b-56bf-4269-a3db-20d4780cd360,121555,2,2,2,2,2
e9d86dd2-3181-49bb-a104-dc651d676fbd,122103,2,2,2,2,2
ec6a6ec0-9efb-4428-8c32-9ef038cd73a3,147624,2,2,2,2,2
ef07bfb4-8430-4552-8731-3e5443beb6d9,87463,2,2,2,2,2
f83f6a48-99ea-4641-a522-2a3267311fee,124253,2,2,2,2,2
fb08a7a2-b201-470e-bea6-65313f196eb5,94761,2,1,2,2,2
nolog-3419ABBB-182A-467D-8181-6F3DDD8AEC3A,-1,2,2,2,2,2
,,,,,,
Conflicts: ,2,,,,,
Remaining:,0,,,,,
