Project ID,Graded ID,1 Block Input,Pen down,Variable Initialization,Repeat Rotations * 4,Move + Turn,Variable Increment,Comment
02167956-0417-40d7-8019-955547f988ee,402375,0,1,1,1,2,1,
0afd5e88-48b7-4b11-9468-e11bc86eac01,372256,0,1,2,0,1,1,
0b0e9735-3929-4505-948c-dcf8f3d6b369,389277,0,1,0,0,1,0,
13288e3e-9dd7-41e2-a715-f69a78a0f736,402934,2,2,2,1,2,2,
14423ccb-9805-4cbe-9bfb-d3f57057ffa5,389569,2,2,2,1,2,2,
1a8bfa7e-9365-467f-aeee-b81e594faed7,389952,2,2,1,2,2,2,
1c615806-195c-4db9-b9d2-ba87b46717c8,393889,2,2,2,1,2,2,
1fcea49b-575d-4917-a82d-4a0498f2d2f7,360611,2,2,2,2,2,2,
2ad28b6c-19fe-49b0-a6eb-82070844a913,355012,2,2,2,2,2,1,
2c99a99a-ca8a-4fa0-861e-de28fd2c9561,350207,2,1,2,1,2,2,
45679584-3f22-4a55-8f65-3be8d69a5936,324475,2,2,2,2,2,2,
45be57d2-39e1-4f14-bdb6-8a70ebd66c80,387486,1,2,0,1,2,0,
45f2f65c-1576-45c6-8897-68a1771dd6af,351217,2,2,2,2,2,2,
4be10271-5af4-4a59-bba2-821a83648bd3,314188,2,2,2,2,2,2,
4f69bed4-2358-4d68-b6aa-d434e1b108b5,401618,2,2,2,1,2,2,Used variable in a different way than it's name
502445bb-b678-4684-b873-730b6325b894,320853,2,2,2,2,2,2,
502b5bd8-e175-43da-bfa3-0f68987446d1,413429,1,2,2,1,2,2,
511e8930-06b4-448b-abc5-d4e1763f8274,354842,2,1,1,1,2,2,Recursion
5266c148-5e4c-4484-a7e0-f20d71cd2531,367375,1,1,0,0,1,0,
5412d4de-51dc-4a87-8c69-37e154297cff,402083,2,2,2,1,2,2,
576091a8-1ece-441f-9111-b29342617c6b,314680,2,2,2,2,2,2,
5a5c7e71-3e9b-4e57-928d-634a898042bd,393238,2,1,1,1,2,2,Recursion
5c6cff16-3897-44b3-86be-cab956e5b997,360095,2,2,2,1,2,2,
5c771ff9-6230-4bc2-b9ec-b3bf474cd107,346865,2,2,2,1,2,2,
5f32f8e0-955f-4298-8ac4-afdad13fbfac,417869,0,1,2,1,2,2,Increment variabl before move
665a51d1-5fde-4222-be93-b355c55b7a79,346516,2,2,2,2,2,2,
68555b61-c434-442f-b3ad-16027bdb4e68,387492,2,2,2,2,2,2,
