Project ID,Graded ID,1 Block Input,Pen down,Variable Initialization,Repeat Rotations * 4,Move + Turn,Variable Increment,Comment
69f6f063-4db1-439f-a3ee-7eaafe7c3630,403187,2,2,2,2,2,2,
6e0c2e3f-e9eb-4289-9458-5a7c097ad666,392025,0,1,0,1,2,2,
74f1f0d0-9995-4846-9e41-fcd61606d6bf,324282,2,2,2,2,2,2,
77607694-54f6-4b55-a88d-4bf34fba9a1e,345380,2,2,2,2,2,2,
808550b5-403a-460c-8d3a-77289b6e6914,401109,2,2,2,1,2,2,Used for loop
80acdeda-4fc6-45d7-8c21-2c0668f4fd2f,314525,2,1,2,2,2,2,
860ddee5-ea7a-42a9-9339-88023137c5d7,346180,2,2,2,1,2,2,
89e79243-c674-47f3-938f-540c1b94a70e,393052,1,1,2,1,2,2,Very weird solution
8a4c7f00-0971-447b-b344-b01de5dde0a8,401870,2,2,2,1,2,2,Used for loop
8f3b19e1-c71a-4ff4-87fe-5e2fb53b66cb,313681,2,2,2,2,2,2,
9084dc5b-fa03-43cf-9aca-e28acd227dad,388271,2,2,2,2,2,2,
9410faf9-18ca-4064-805f-6e2f9a2efcec,353462,0,1,2,1,2,2,
94a37174-1df6-465a-9ce3-e86b0600a97d,313647,2,2,2,2,2,2,
94a79be4-80e8-41c7-a878-5b874997f2f0,314542,2,2,2,2,2,2,
95ff2984-0889-466a-b47e-c70bcdc7e9cb,395312,2,2,2,1,2,2,Used for loop
991222f2-c099-4b78-b4d4-349bb98bb5d4,352527,2,2,2,2,2,2,
992a324c-1869-44c0-b87e-f40b3b254d61,402430,2,2,2,2,2,2,Used variable in a different way than it's name
aacf3a7c-28af-4aac-bf85-297b3b0cbec0,392600,0,1,0,1,2,2,
ab3f94f0-cccf-42eb-b239-d93c14958d91,401798,2,2,2,1,2,2,"Very weird solution, I'm sure my grading is questionable for this one"
ac8344d0-7698-4b1d-a9b5-3212c10e752f,344093,2,2,2,2,2,2,
b334c222-f6cc-487d-88cb-59336d7c667d,336924,2,2,2,2,2,2,
c2590d2b-de5f-4adb-928c-fc463e6da244,366742,0,1,0,0,1,0,
c5c36360-d999-471a-8ec8-a282680e95d1,391634,0,1,0,0,1,0,
c61c96bb-5e71-4ed6-93bf-699ae550b39f,390161,2,2,2,1,2,2,
cac83524-9392-4ea6-b091-d8fe34ff4cbc,386209,0,1,2,1,2,2,
d5169f22-816a-433c-b15f-5217ddc99233,418324,0,1,2,1,2,2,
d6e257fe-7f2f-415e-8821-721498b6b19d,349330,2,1,1,1,2,2,Recursion
d9852666-bc02-4fd1-a049-e95e067be53c,379802,2,2,2,2,2,2,
dc31a66a-ac0b-46c6-a522-7117302c47c8,343465,2,2,2,2,2,2,
dc49db68-42d0-462c-89f1-9b533cbe4d13,343170,2,2,2,2,2,2,
e143fa85-7a74-4f56-be94-612a77bc43f1,387363,2,2,2,1,2,2,
e4242e5e-73de-4177-a917-ad110bfc78c1,363700,2,2,2,1,2,0,
eaab157a-5ffa-42f5-a9df-1140c91d42d8,359905,2,1,0,0,1,0,
eed49584-2089-4413-bf74-7c2bb16b2ffa,313646,2,2,2,2,2,2,
efcb1fe8-7fd6-4582-89b4-82f6cb2de643,347381,2,2,2,2,2,2,
f408cafc-da89-4bae-8c2a-446165b2ee7c,393766,2,2,2,1,2,2,
faa59c5e-f80a-4ac0-be1e-9b45bfb12537,344082,2,2,2,2,2,2,
ffdb8b26-193b-4662-85aa-845268646707,406204,0,1,2,1,2,2,
