Project ID,Graded ID,1 Block Input,Pen down,Variable Initialization,Repeat Rotations * 4,Move + Turn,Variable Increment
nolog-00C06EB0-9769-41F7-8124-0DC41FBE6ED4,-1,2,2,1,2,2,2
nolog-047F063E-61F4-4A26-80C2-D35481065754,-1,0,2,1,1,2,1
nolog-066CC8FF-5C69-44A4-A055-7EE13093BEC4,-1,1,2,0,0,1,0
nolog-081E7FF7-07FC-4952-997C-3B9E1F923150,-1,2,2,2,2,2,2
nolog-10324E30-F484-4D3A-BF05-DB1732602A10,-1,2,2,2,2,2,2
nolog-113027FB-704D-4CFE-98A6-B40BB75DC7AC,-1,2,2,2,2,2,2
nolog-114490E0-92DB-4B27-8001-F950EC33EF0F,-1,2,2,2,2,2,2
nolog-14816F80-BD63-4501-BD9F-3DF0BB52E53E,-1,1,0,2,1,2,2
nolog-1D8EDE41-A149-42E6-8E1B-0DE965D89D85,-1,2,2,2,2,2,2
nolog-2041B4A8-FB46-4D4A-8C7E-EBD58DE65CE5,-1,2,2,2,2,2,2
nolog-227E4019-24EB-40DB-B08F-A74A0CC055F1,-1,2,2,2,1,2,2
nolog-2281D028-81B3-4B83-BD9B-087BA293F722,-1,2,2,2,1,2,1
nolog-322272C7-C851-45E0-B8C3-12D263C2AC34,-1,1,1,2,1,2,2
nolog-3301B94E-3371-441C-A71F-C908F7026594,-1,0,2,2,1,2,2
nolog-34778025-A6A7-47DB-BD05-650EAFD7D766,-1,1,1,1,1,1,2
nolog-3480E3CB-B986-4C33-A9FA-C715117D0E92,-1,2,2,2,2,2,2
nolog-37E80355-226A-44F8-9E36-C67D40861AB4,-1,2,2,2,2,2,1
nolog-39D7B278-11EF-4C57-B3E0-7BD03A33D06E,-1,2,2,2,1,2,2
nolog-4473F7D5-2E4A-40CD-AC23-C49F1718CB03,-1,1,2,0,0,1,0
nolog-46EA691D-7758-4593-A6F8-C32B9A85AB68,-1,2,2,2,1,2,2
nolog-48CE960E-8B40-46AA-B559-A93C355D861A,-1,2,2,1,0,2,1
nolog-4985CC80-5DE9-4769-8588-14B41AFB774A,-1,2,2,2,2,2,2
nolog-4CC69644-4FDA-4FF4-860D-88B818CDAF7B,-1,2,2,2,2,2,2
nolog-4FAD8407-F9DB-4642-8C52-A0B3125EA172,-1,2,2,1,2,2,2
nolog-5642DD3B-B824-49DA-8F22-7C1273B4465D,-1,2,2,2,1,2,2
nolog-56BB4130-F742-4B48-A3FE-5F77C8C6CC29,-1,2,2,2,2,2,2
nolog-5A069BDD-F624-4747-A13D-931649FFCACF,-1,2,2,2,2,2,2
nolog-5F320204-784F-4A7A-8B0D-3079187F6E0A,-1,2,2,2,2,2,2
nolog-624D721D-8312-4450-B963-3E5E4D1C8A13,-1,2,2,2,2,2,2
nolog-66E9BB9D-7851-4C4B-BFCE-88DD4E5DFAEF,-1,2,2,2,2,2,2
nolog-671E2AE2-7934-4D76-8D23-1F3C966C5480,-1,2,2,2,2,2,2
nolog-7108760C-F514-411D-86CC-8CA11761ADDE,-1,1,1,2,1,2,2
nolog-7446D24C-1601-4DBE-BE05-C13D746004E7,-1,2,2,2,2,2,2
nolog-759BDA6C-A9F5-467C-A14A-0B978E6E22A0,-1,2,2,2,1,2,2
nolog-761D7A70-7303-4EA9-B419-D2D48E7313EB,-1,2,2,2,1,2,2
nolog-763BBCB2-CD63-46A7-A756-AD72AE25BA7B,-1,2,2,2,2,2,2
nolog-76CC9B93-8960-4D01-B616-6AA151754838,-1,2,2,2,2,2,2
nolog-7B2287E4-454C-4755-B9CA-DAEBFCBA005F,-1,2,2,2,1,2,2
nolog-7DA578F4-9252-44DC-BCF8-6143B1E96B26,-1,2,2,2,2,2,2
nolog-7DDEF061-5377-4176-A217-CBD6E57B7F14,-1,2,2,2,2,2,2
nolog-827B6396-7E89-44CB-80CB-9792CA81D16F,-1,2,2,2,1,2,2
nolog-83E5C318-0FF4-4C1E-BB16-92CE3C0F5D5B,-1,2,2,2,2,2,1
nolog-85C9081F-A320-407B-A4AE-660A5166A38D,-1,2,2,2,2,2,2
nolog-85D8F853-F6B2-41F8-91D7-EB1878B7AF8C,-1,2,2,1,2,2,2
nolog-86947FEB-5F75-4DD7-9F3F-7B1EEEAFE3D1,-1,2,2,2,2,2,2
097100d8-b5ae-4e33-b311-b83d177ef7d9,-1,2,2,2,1,1,1
nolog-906583BD-D0CB-49E2-98FA-E2FB258F7CE2,-1,2,2,2,2,2,2
nolog-91869459-D885-4B99-B1B4-9FAF0C6965CC,-1,2,2,2,1,2,2
nolog-934FCE5D-B867-417E-A677-8804D5EFBC2C,-1,2,2,2,2,2,2
nolog-93F83ADC-E0AB-46A6-921F-445FC397A1C0,-1,2,2,2,2,2,2
nolog-9E1543C9-EA96-4850-9E00-C802E346450C,-1,0,2,0,0,1,0
nolog-A483E68F-6033-4603-8128-F1B38FCA3A9C,-1,2,2,2,2,2,2
nolog-AAD66A94-E53D-4297-BE8C-44201761FC3A,-1,2,2,2,2,2,2
nolog-B40DE1E6-177F-4929-8F02-3A455F70075A,-1,2,2,2,2,2,2
nolog-B4C3E7A7-175A-4135-A2BA-C85F40272454,-1,2,2,2,2,2,2
nolog-B701ED74-F2B1-4D58-9E7B-C92203960B2C,-1,2,2,2,1,2,2
nolog-BBAF8C6E-92A3-49F3-9D8F-05778878ACE6,-1,0,2,2,1,2,2
nolog-BD37B9B7-720C-4F64-B881-C82E10299276,-1,2,2,2,2,2,2
nolog-BFF70754-5801-494F-8EFE-7EA3F6B97206,-1,2,2,2,2,2,2
nolog-C06FA6CD-BE6A-4954-B004-2A4BF137320C,-1,2,2,2,2,2,1
nolog-C174E9AC-FDD8-4231-A6AB-A7BAE7465CAF,-1,2,2,2,2,2,2
nolog-C400BA2B-728E-4A86-9A01-F6C89835F8CB,-1,2,2,1,2,2,2
nolog-C6822560-949B-432A-A8D7-0177C4B15700,-1,2,2,2,2,2,2
nolog-C83B9F44-0D04-48F6-8785-720AC3AA8355,-1,2,2,2,2,2,2
nolog-CD829E82-A956-452C-8FF7-4F3819CDE349,-1,2,2,2,2,2,2
nolog-D3A761C4-EFB5-4C56-9AFE-F98347957A5F,-1,2,2,2,2,2,2
nolog-D4845C11-A216-411E-9183-6259A9168E92,-1,2,2,1,1,2,1
nolog-DB7869C7-E3FB-44A8-BB0C-82CF9F3E7EF5,-1,2,2,0,0,1,0
nolog-DC7717AC-6EEC-42D3-9A2F-13EC30002190,-1,2,2,2,2,2,2
nolog-E0744C13-53C5-46AE-9796-C3848D1D5B60,-1,2,2,1,2,2,2
nolog-E4476642-1FF7-4024-ABDE-CE298B505937,-1,2,2,2,2,2,2
nolog-E54E9016-D9E8-458B-84E3-00F5E4FF50A2,-1,2,2,2,1,2,2
nolog-ECAC29EE-7341-4E12-BC46-7BD0206FBA19,-1,2,2,0,1,2,1
nolog-ED7B8D16-583B-4BF7-800C-9AAF7BE14DB3,-1,1,2,0,1,1,0
20bec7ff-0558-4ea6-8631-ff0e9394c204,-1,2,2,1,2,2,1
nolog-F02993FE-E668-418E-A6C6-EF7633DB3702,-1,1,0,1,0,2,0
nolog-F03F50E6-BB9D-4D0F-BADD-AA3C49FD0818,-1,2,2,2,2,2,2
nolog-F65FFE91-7944-43D5-B0A1-26B45E9D8468,-1,0,2,1,1,2,2
nolog-F8596F8F-48FA-4E36-8F94-874795AE7E31,-1,2,2,2,2,2,2
nolog-F929486D-87DD-40F6-AC51-B9C8059F7305,-1,2,2,1,0,2,0
,,,,,,,
Conflicts: ,44,,,,,,
Remaining:,0,,,,,,
