dataset,assignment,id,link,start,code,startAssignment
Fall2017,lightsCameraActionHW,6f0c23f8-50c4-4706-9b58-abc454156f45,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=6f0c23f8-50c4-4706-9b58-abc454156f45&assignment=lightsCameraActionHW&start=85644&end=86708&snapshots=true,85644,,
Fall2017,lightsCameraActionHW,6fefcef1-e597-473c-a80a-a1e1eb36cd35,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=6fefcef1-e597-473c-a80a-a1e1eb36cd35&assignment=lightsCameraActionHW&start=44957&end=45380&snapshots=true,44957,,
Fall2017,lightsCameraActionHW,6ff1fab5-926f-4f5c-ac8d-1f211649017b,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=6ff1fab5-926f-4f5c-ac8d-1f211649017b&assignment=none&start=53019&end=56714&snapshots=true,53019,,
Fall2017,lightsCameraActionHW,701ca7f9-e8c6-493b-a255-e75db1ddd7a2,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=701ca7f9-e8c6-493b-a255-e75db1ddd7a2&assignment=lightsCameraActionHW&start=81923&end=83973&snapshots=true,81923,,
Fall2017,lightsCameraActionHW,714de842-ded7-4592-b979-c564331248cc,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=714de842-ded7-4592-b979-c564331248cc&assignment=lightsCameraActionHW&start=25362&end=25795&snapshots=true,25362,,
Fall2017,lightsCameraActionHW,73d5f9de-8b13-4bc6-8806-da43696a9881,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=73d5f9de-8b13-4bc6-8806-da43696a9881&assignment=lightsCameraActionHW&start=30044&end=31415&snapshots=true,30044,,
Fall2017,lightsCameraActionHW,8a0da968-05fa-480c-ab0d-c96380e0dd7e,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=8a0da968-05fa-480c-ab0d-c96380e0dd7e&assignment=lightsCameraActionHW&start=47099&end=52140&snapshots=true,47099,,
Fall2017,lightsCameraActionHW,8e99b7b6-40cb-4b5d-89f4-bb89f4b53273,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=8e99b7b6-40cb-4b5d-89f4-bb89f4b53273&assignment=lightsCameraActionHW&start=100756&end=101351&snapshots=true,100756,,
Fall2017,lightsCameraActionHW,9b1b213c-72b5-4189-80f2-f13c2160eb4e,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=9b1b213c-72b5-4189-80f2-f13c2160eb4e&assignment=lightsCameraActionHW&start=38244&end=39493&snapshots=true,38244,,
Fall2017,lightsCameraActionHW,9bacbd6f-b078-4d85-ae64-3dd9798968b5,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=9bacbd6f-b078-4d85-ae64-3dd9798968b5&assignment=lightsCameraActionHW&start=85098&end=85621&snapshots=true,85098,,
Fall2017,lightsCameraActionHW,a1399ab5-7067-4ae2-9da4-dae0bdfbdee9,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=a1399ab5-7067-4ae2-9da4-dae0bdfbdee9&assignment=lightsCameraActionHW&start=79862&end=81841&snapshots=true,79862,,
Fall2017,lightsCameraActionHW,a91393e9-155b-488d-9891-f4166de6834e,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=a91393e9-155b-488d-9891-f4166de6834e&assignment=lightsCameraActionHW&start=44644&end=44926&snapshots=true,44644,,
Fall2017,lightsCameraActionHW,aea29ce6-a90b-41d9-a2d7-9a524928d452,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=aea29ce6-a90b-41d9-a2d7-9a524928d452&assignment=lightsCameraActionHW&start=26809&end=27912&snapshots=true,26809,,
Fall2017,lightsCameraActionHW,b2771075-ec83-4533-8fa7-3b9fbf5eb9d5,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=b2771075-ec83-4533-8fa7-3b9fbf5eb9d5&assignment=lightsCameraActionHW&start=36845&end=44088&snapshots=true,36845,,
Fall2017,lightsCameraActionHW,b81a7c05-eec7-4988-b236-41b77b59b4f0,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=b81a7c05-eec7-4988-b236-41b77b59b4f0&assignment=lightsCameraActionHW&start=35155&end=43044&snapshots=true,35155,,
Fall2017,lightsCameraActionHW,bf1c3f1b-7942-4f76-a23e-2868fa1f24fe,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=bf1c3f1b-7942-4f76-a23e-2868fa1f24fe&assignment=lightsCameraActionHW&start=28403&end=29834&snapshots=true,28403,,
Fall2017,lightsCameraActionHW,c350092e-4e4e-49e6-9481-edabf554112a,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=c350092e-4e4e-49e6-9481-edabf554112a&assignment=lightsCameraActionHW&start=35365&end=69630&snapshots=true,35365,,
