dataset,assignment,id,link,start,code,
Spring2017,polygonMakerLab,80f50c9e-4835-46f8-8f68-c9a0fc280ecc,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=80f50c9e-4835-46f8-8f68-c9a0fc280ecc&assignment=polygonMakerLab&start=65973&end=69307&snapshots=true,65973,,
Spring2017,polygonMakerLab,825f307c-7ffc-4390-bc68-891e973027c2,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=825f307c-7ffc-4390-bc68-891e973027c2&assignment=polygonMakerLab&start=77087&end=82955&snapshots=true,77087,,
Spring2017,polygonMakerLab,8512f6a9-7c63-40d8-95ab-66cdf9c91922,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=8512f6a9-7c63-40d8-95ab-66cdf9c91922&assignment=polygonMakerLab&start=56759&end=65605&snapshots=true,56759,,
Spring2017,polygonMakerLab,95039fd2-cfb3-48d6-928e-27a7d202ee59,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=95039fd2-cfb3-48d6-928e-27a7d202ee59&assignment=polygonMakerLab&start=57636&end=64556&snapshots=true,57636,,
Spring2017,polygonMakerLab,9630f120-6071-4cde-81ab-9a11ef376dcc,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=9630f120-6071-4cde-81ab-9a11ef376dcc&assignment=polygonMakerLab&start=80695&end=85095&snapshots=true,80695,,
Spring2017,polygonMakerLab,9f63a8aa-dd9e-4919-af66-93d1d5814ddc,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=9f63a8aa-dd9e-4919-af66-93d1d5814ddc&assignment=polygonMakerLab&start=56785&end=64292&snapshots=true,56785,,
Spring2017,polygonMakerLab,a572f1b5-5ec4-4b80-a2a8-02e38799a6a9,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=a572f1b5-5ec4-4b80-a2a8-02e38799a6a9&assignment=polygonMakerLab&start=51453&end=63425&snapshots=true,51453,,
Spring2017,polygonMakerLab,aa16aa63-33e9-4d2e-990c-7e56488c059b,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=aa16aa63-33e9-4d2e-990c-7e56488c059b&assignment=polygonMakerLab&start=77553&end=85181&snapshots=true,77553,,
Spring2017,polygonMakerLab,b2a3311c-67ca-4ea4-9799-b540dce890d3,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=b2a3311c-67ca-4ea4-9799-b540dce890d3&assignment=polygonMakerLab&start=77532&end=85997&snapshots=true,77532,,
Spring2017,polygonMakerLab,b94996be-c5ec-4ff6-a27d-f1042bdf5d23,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=b94996be-c5ec-4ff6-a27d-f1042bdf5d23&assignment=polygonMakerLab&start=92385&end=96513&snapshots=true,92385,,
